repo,commit_sha,committed_at,commit_message,commit_type,language,lines_added,lines_deleted,files_changed,test_files_changed,doc_files_changed,has_tests,cyclomatic_complexity,total_diff_hunks,commit_hour,day_of_week,is_weekend,is_night_commit,num_reviewers,review_comments,time_to_review_hours,test_coverage_pct,developer_experience,prior_bugs_author,churn_ratio,scatter_score,complexity_per_file,is_buggy
django/django,f86eb5f89b,2026-04-07T20:02:32Z,"Removed PY38 and PY39 version constants.  As the oldest supported version is Django 5.2, we only need constants for PY310+.",refactor,Python,0,2,1,0,0,0,1,2,20,1,0,0,0,0,8.4,0.0,1.5,52,0.0,1.0,0.5,0
django/django,86cea4145d,2026-04-07T20:05:40Z,"Refs #35514 -- Corrected email backends' outline levels in email docs.  Moved documentation section for each email backend to be a direct child of ""Email backends"" (rather than subsections of ""Obtaini",feature,Unknown,8,5,1,0,1,0,4,13,20,1,0,0,0,0,10.9,0.0,4.3,52,1.33,0.1111,2.0,0
django/django,5a79a092af,2026-04-07T20:27:52Z,"Refs #35514 -- Moved get_connection() after backends in email docs.  Moved ""Obtaining an instance of an email backend"" after documentation for individual backends (matching similar approach in Tasks d",refactor,Unknown,23,23,1,0,1,0,14,46,20,1,0,0,0,7,2.2,0.0,5.1,52,0.96,0.0417,7.0,0
django/django,8bb01b1b11,2026-04-07T21:18:09Z,"Refs #35514 -- Moved and renamed ""Sending multiple emails"" in email docs.  Moved ""Sending multiple emails"" from the ""Email backends"" section to the ""Sending messages"" section and renamed it to ""Sendin",refactor,Unknown,102,93,1,0,1,0,63,195,21,1,0,0,0,5,10.2,0.0,4.1,52,1.09,0.0097,31.5,0
django/django,5a0c099140,2026-04-07T22:11:17Z,"Refs #35514 -- Added ""Configuring email"" section to email docs.",feature,Unknown,26,1,1,0,1,0,9,27,22,1,0,1,1,6,8.0,0.0,1.7,52,13.0,0.037,4.5,0
django/django,378481165d,2026-04-07T22:24:53Z,"Refs #35514 -- Cleaned up email docs.  * Indented get_connection() details into its function block. * Updated introductory paragraph to better reflect current capabilities. * Changed link in ""Quick ex",refactor,Unknown,50,35,1,0,1,0,28,85,22,1,0,1,3,15,49.9,0.0,7.0,52,1.39,0.0196,14.0,0
django/django,280256499c,2026-04-08T13:30:10Z,"Refs CVE-2026-4292 -- Isolated new test in AdminViewListEditable.  As originally written, this test interfered with admin_views.tests.SeleniumTests.test_inline_uuid_pk_add_with_popup. To fix this, reg",bugfix,Python,4,3,2,2,0,1,2,7,13,2,0,0,0,3,2.6,100.0,3.5,52,1.0,0.4,0.67,1
django/django,6f030e8e5d,2026-04-09T20:39:29Z,Fixed typo in docs/howto/delete-app.txt.,bugfix,Unknown,1,1,1,0,1,0,1,2,20,3,0,0,0,4,13.6,0.0,6.1,53,0.5,0.5,0.5,1
django/django,339879620a,2026-04-09T23:18:25Z,Fixed broken link in email docs.,bugfix,Unknown,1,1,1,0,1,0,1,2,23,3,0,1,0,4,4.3,0.0,3.2,54,0.5,0.5,0.5,1
django/django,f0b75f46fd,2026-04-10T12:21:46Z,Removed unused code checkout step from labels.yml GitHub Action.,refactor,Unknown,2,4,2,0,0,0,1,6,12,4,0,0,2,2,4.1,0.0,9.2,55,0.4,0.6667,0.33,0
django/django,8ddc5b444c,2026-04-10T18:40:40Z,"Updated release procedure with new CVE workflows.  Now that the DSF is a CVE Numbering Authority (CNA), we manage our own CVE assignments.",feature,Unknown,57,12,2,0,1,0,23,69,18,4,0,0,4,9,206.8,0.0,9.8,55,4.38,0.0345,7.67,0
django/django,8d326336c5,2026-04-13T10:39:47Z,Fixed #37029 -- Corrected placement of </div> in change_list.html's pagination block.  Bug in 3f59711581bd22ebd0f13fb040b15b69c0eee21f.,bugfix,Unknown,8,5,2,0,1,0,4,13,10,0,0,0,0,6,32.4,0.0,2.9,55,1.33,0.2222,1.33,1
django/django,f8a9290f30,2026-04-14T19:15:02Z,Fixed incomplete comment in email docs.,bugfix,Unknown,1,1,1,0,1,0,1,2,19,1,0,0,0,1,4.9,0.0,6.6,56,0.5,0.5,0.5,1
django/django,820c7d3248,2026-04-16T06:16:13Z,Fixed #37036 -- Added missing flat=True arg in DeferredAttribute.fetch_many().,bugfix,Python,29,1,4,2,0,1,10,30,6,3,0,0,4,4,55.5,50.0,5.0,57,14.5,0.1333,2.0,1
django/django,82a2465f71,2026-04-16T09:28:19Z,Added DatabaseFeatures.disallowed_simple_test_case_connection_methods.,feature,Python,18,9,2,1,0,1,9,27,9,3,0,0,1,0,32.3,50.0,8.6,58,1.8,0.1053,3.0,0
django/django,ed79c5959a,2026-04-18T06:53:21Z,"Fixed #37028 -- Added BitAnd(), BitOr(), and BitXor() aggregates.",bugfix,Python,341,78,13,3,4,1,100,419,6,5,1,0,3,26,158.4,23.1,9.2,58,4.32,0.038,7.14,1
django/django,4a6f797e48,2026-04-18T11:12:44Z,Refs #35007 -- Added biome to lint and format CSS files.,feature,Unknown,66,5,5,0,0,0,24,71,11,5,1,0,2,4,16.2,0.0,2.5,59,11.0,0.0746,4.0,0
django/django,241b8e1aab,2026-04-18T11:13:27Z,Formatted CSS files.,other,Unknown,1209,462,17,0,0,0,100,1671,11,5,1,0,2,6,1.5,0.0,3.2,59,2.61,0.014,5.56,0
django/django,a284a49153,2026-04-18T11:54:55Z,"Fixed #37047 -- Fixed crash in Query.orderby_issubset_groupby for descending and random order_by strings.  Run this example:  ```python User.objects.values(""is_staff"").annotate(latest=Max(""date_joined",bugfix,Python,17,8,2,1,0,1,8,25,11,5,1,0,1,0,20.8,50.0,8.8,59,1.89,0.1111,2.67,1
django/django,1b0d46f715,2026-04-18T12:49:29Z,Refs #35007 -- Ignored CSS formatting changes in git blame.,other,Unknown,1,0,1,0,0,0,1,1,12,5,1,0,2,0,1.0,0.0,2.8,60,1.0,0.5,0.5,0
django/django,d33364c7ba,2026-04-18T22:54:08Z,"Removed OrderedDict representer from PyYAML serializer.  Added in 5bc3123479bd97dc9d8a36fa9a3421a71063d1da (refs #24558), it was obsoleted when OrderedDict usage was removed in 24b82cd201e21060fbc0211",feature,Python,0,7,1,0,0,0,2,7,22,5,1,1,1,0,8.0,0.0,3.1,60,0.0,1.0,1.0,0
django/django,aad47fe1bf,2026-04-19T05:49:19Z,Refs #36986 -- Replaced yaml's Serializer._value_from_field() time handling with a representer.,other,Python,10,13,1,0,0,0,7,23,5,6,1,1,1,0,347.4,0.0,9.5,60,0.71,0.0909,3.5,0
django/django,179aa21b6d,2026-04-19T06:04:22Z,Fixed #37024 -- Made SITE_ID system check validation use Site._meta.pk.,bugfix,Python,41,11,3,1,1,1,17,52,6,6,1,0,2,3,278.8,33.3,5.8,60,3.42,0.0714,4.25,1
django/django,250434861e,2026-04-19T08:48:53Z,"Fixed #37048, Refs #36728 -- Added release notes for changes to InclusionAdminNode and parse_bits().",bugfix,Unknown,6,0,1,0,1,0,2,6,8,6,1,0,1,0,0.7,0.0,1.6,61,6.0,0.1429,1.0,1
django/django,290fefe6f8,2026-04-19T08:54:02Z,Fixed #35007 -- Replaced ESLint with Biome for JavaScript linting and formatting.,bugfix,JavaScript,27,1378,8,0,1,0,100,1405,8,6,1,0,1,0,11.7,0.0,8.7,62,0.02,0.2857,11.11,1
django/django,fc0a0ebd4f,2026-04-19T08:54:17Z,Formatted JavaScript files.,other,JavaScript,3025,1655,31,11,0,1,100,4680,8,6,1,0,2,4,2.2,35.5,1.7,63,1.83,0.0102,3.12,0
django/django,47789e3a2b,2026-04-19T10:30:45Z,Refs #35007 -- Removed eslint disable in a test.,refactor,JavaScript,0,2,1,1,0,1,1,2,10,6,1,0,0,2,3.7,100.0,6.0,63,0.0,1.0,0.5,0
expressjs/express,55869f49a6,2025-01-18T20:37:48Z,feat: Added check to support Uint8Array in response sending (#6285)  Unified usage of ArrayBuffer.isView to comprehend Buffer and removed isView function check  Co-authored-by: Wes Todd <wes@wesleytod,bugfix,JavaScript,15,1,3,1,1,1,5,16,20,5,1,0,1,2,0.1,33.3,7.6,0,7.5,0.1875,1.25,1
expressjs/express,ae6a4621bc,2025-02-05T17:40:08Z,fix(ci): updated scorecard actions (#6322),bugfix,Unknown,4,4,1,0,0,0,2,8,17,2,0,0,2,3,9.4,0.0,3.8,1,0.8,0.2,1.0,1
expressjs/express,af7cd90893,2025-02-05T18:05:39Z,"feat(deps): use carat notation for dependency versions (#6317)  Signed-off-by: Dustin Popp <dustinpopp@ibm.com> Co-authored-by: Ulises Gascón <ulisesgascongonzalez@gmail.com>",feature,Unknown,16,16,1,0,0,0,10,32,18,2,0,0,0,4,6.6,0.0,9.6,2,0.94,0.0588,5.0,0
expressjs/express,85e48bb8c1,2025-02-10T19:41:39Z,fix(deps): update debug to ^4.4.0 (#6313),bugfix,Unknown,2,1,2,0,1,0,1,3,19,0,0,0,1,3,54.7,0.0,5.9,2,1.0,0.6667,0.33,1
expressjs/express,2d589b644a,2025-02-12T15:38:10Z,fix(docs): retroactively note 5.0.0-beta.1 api change in history file (#6333)  Signed-off-by: Dustin Popp <dustinpopp@ibm.com>,bugfix,Unknown,1,0,1,0,1,0,1,1,15,2,0,0,1,3,19.5,0.0,3.0,3,1.0,0.5,0.5,1
expressjs/express,99473c593a,2025-02-12T15:44:53Z,feat(deps): body-parser@^2.1.0 (#6332),feature,Unknown,2,1,2,0,1,0,1,3,15,2,0,0,0,1,16.5,0.0,6.4,4,1.0,0.6667,0.33,0
expressjs/express,c2f576cbe9,2025-02-12T16:09:50Z,feat(deps): router@^2.1.0 (#6331),feature,Unknown,2,1,2,0,1,0,1,3,16,2,0,0,2,5,2.3,0.0,3.7,4,1.0,0.6667,0.33,0
expressjs/express,a42413d4e3,2025-02-12T16:22:11Z,"fix(docs): Update repo captains (#6234)  * docs: update repo captains  * docs: update repo captain nomination policies  Ref: https://github.com/expressjs/express/pull/6234#issuecomment-2578555232",bugfix,Unknown,24,17,1,0,1,0,13,41,16,2,0,0,2,6,2.5,0.0,8.1,4,1.33,0.04,6.5,1
expressjs/express,2a53336e5d,2025-02-12T16:47:19Z,fix(deps): nyc@^17.1.0 (#6122),bugfix,Unknown,2,1,2,0,1,0,1,3,16,2,0,0,0,7,6.6,0.0,8.9,5,1.0,0.6667,0.33,1
expressjs/express,d2de128a32,2025-02-13T16:44:50Z,"fix (deps): update deps (#6337)  fix(deps): mocha@^10.7.3 (closes #6121)  fix(deps): marked@^15.0.3 (closes #6120)  fix(deps): express-session@^1.18.1 (closes #6119)  fix(deps): ejs@^3.1.10 (clo",bugfix,Unknown,14,7,2,0,1,0,7,21,16,3,0,0,2,5,6.4,0.0,9.0,6,1.75,0.1333,2.33,1
expressjs/express,327af123a1,2025-02-13T19:39:31Z,"feat: add support for ETag option in res.sendFile (#6073)  This patch introduces the ability to control the ETag generation through the `res.sendFile` function. Specifically, the ETag option is wire",bugfix,JavaScript,17,0,3,1,1,1,5,17,19,3,0,0,2,2,4.9,33.3,4.6,7,17.0,0.1667,1.25,1
expressjs/express,6ed3439584,2025-02-14T15:51:27Z,fix(docs): Update multiple links to use `https` instead of `http` (#6338),bugfix,Unknown,6,6,4,0,3,0,3,12,15,4,0,0,1,2,4.9,0.0,1.3,8,0.86,0.5714,0.6,1
expressjs/express,caa4f68ee8,2025-02-14T16:20:53Z,feat: Extend res.links() to allow adding multiple links with the same rel (closes #2729) (#4885),feature,JavaScript,34,4,3,1,1,1,13,38,16,4,0,0,1,6,30.8,33.3,6.4,9,6.8,0.0857,3.25,1
expressjs/express,59703c2321,2025-02-27T21:47:13Z,docs: update emeritus triagers (#6345),docs,Unknown,6,5,1,0,1,0,3,11,21,3,0,0,1,7,12.9,0.0,7.1,10,1.0,0.1429,1.5,0
expressjs/express,90e522ac90,2025-03-04T14:09:18Z,fix(docs): update guidance for triager nominations (#6349)  * docs: update guidance for triager nominations  * Update Contributing.md  Co-authored-by: Wes Todd <wes@wesleytodd.com>  * Update Contribut,bugfix,Unknown,2,1,1,0,1,0,1,3,14,1,0,0,1,7,13.2,0.0,4.0,10,1.0,0.3333,0.5,1
expressjs/express,35e15362ab,2025-03-05T15:11:29Z,fix(docs): clarify guidelines for becoming a committer (#6364)  * docs: clarify guidelines for becoming a committer  * Update Contributing.md  Co-authored-by: Chris de Almeida <ctcpip@users.noreply.gi,bugfix,Unknown,1,1,1,0,1,0,1,2,15,2,0,0,1,2,4.7,0.0,7.5,11,0.5,0.5,0.5,1
expressjs/express,9cbe2c2cbb,2025-03-11T21:49:08Z,docs: add @dpopp07 to the triage team (#6352),feature,Unknown,1,0,1,0,1,0,1,1,21,1,0,0,0,3,1.3,0.0,2.0,12,1.0,0.5,0.5,0
expressjs/express,1e359f57fc,2025-03-11T21:49:58Z,fix(deps): qs@^6.14.0 (#6374),bugfix,Unknown,2,1,2,0,1,0,1,3,21,1,0,0,1,2,6.1,0.0,3.3,12,1.0,0.6667,0.33,1
expressjs/express,0bb00e1906,2025-03-11T21:50:59Z,ci: add dependabot (#5435)  Co-authored-by: Shivam Sharma <meshivam81@gmail.com> Co-authored-by: Sebastian Beltran <bjohansebas@gmail.com>,feature,Unknown,17,0,1,0,0,0,5,17,21,1,0,0,0,1,5.4,0.0,6.0,13,17.0,0.0556,2.5,0
expressjs/express,4a2175dfc9,2025-03-16T22:44:57Z,fix dependabot config (#6392),bugfix,Unknown,0,0,1,0,0,0,1,0,22,6,1,1,2,0,2.0,0.0,5.9,13,0.0,1.0,0.5,1
expressjs/express,1d63162dbf,2025-03-18T16:11:59Z,build(deps): bump github/codeql-action from 3.24.7 to 3.28.11 (#6398)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.24.7 to 3.28.11. - [Release notes](https://github.co,docs,Unknown,3,3,2,0,0,0,1,6,16,1,0,0,2,3,0.7,0.0,8.0,14,0.75,0.5,0.33,0
expressjs/express,29d09803c1,2025-03-18T16:12:20Z,build(deps): bump ossf/scorecard-action from 2.4.0 to 2.4.1 (#6397)  Bumps [ossf/scorecard-action](https://github.com/ossf/scorecard-action) from 2.4.0 to 2.4.1. - [Release notes](https://github.com/o,bugfix,Unknown,1,1,1,0,0,0,1,2,16,1,0,0,0,1,7.9,0.0,5.1,14,0.5,0.5,0.5,1
expressjs/express,9e97144222,2025-03-19T00:12:45Z,feat(deps): finalhandler@2.1.0 (#6373)  * feat(deps): finalhandler@2.1.0  * Update History.md  Co-authored-by: Phillip Barta <barta.phillip@gmail.com>  ---------  Co-authored-by: Phillip Barta <barta.,feature,Unknown,2,1,2,0,1,0,1,3,0,2,0,1,2,5,17.7,0.0,6.5,15,1.0,0.6667,0.33,0
expressjs/express,1f311c59d4,2025-03-24T01:08:24Z,build(deps-dev): bump cookie-session from 2.0.0 to 2.1.0 (#6399)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com,other,Unknown,1,1,1,0,0,0,1,2,1,0,0,1,1,7,21.8,0.0,9.4,15,0.5,0.5,0.5,0
expressjs/express,7b44e1d850,2025-03-26T14:43:11Z,ci: use full SHAs for github action versions  Ref: https://github.com/expressjs/security-wg/issues/2,other,Unknown,17,17,4,0,0,0,11,34,14,2,0,0,0,7,14.9,0.0,6.5,15,0.94,0.2222,2.2,1
expressjs/express,6b51e8ef97,2025-03-27T01:31:57Z,deps: body-parser@^2.2.0 (#6419),other,Unknown,2,2,2,0,1,0,1,4,1,3,0,1,0,0,43.4,0.0,3.9,16,0.67,0.6667,0.33,0
expressjs/express,f1a2dc884d,2025-03-27T01:32:28Z,deps: type-is@^2.0.1 (#6420),other,Unknown,2,1,2,0,1,0,1,3,1,3,0,1,1,2,3.1,0.0,9.8,16,1.0,0.6667,0.33,0
expressjs/express,eb6d12587a,2025-03-27T01:47:40Z,deps: router@^2.2.0 (#6417),other,Unknown,2,2,2,0,1,0,1,4,1,3,0,1,1,6,2.1,0.0,8.5,16,0.67,0.6667,0.33,0
expressjs/express,cb4c56e9a7,2025-03-27T23:43:18Z,fix(docs): remove @mertcanaltin from Triagers (#6408)  * doc: remove @mertcanaltin from Triagers  * move emeritus  ---------  Co-authored-by: Mert Can Altin <mert.altin@trendyol.com> Co-authored-by: W,bugfix,Unknown,2,2,1,0,1,0,1,4,23,3,0,1,1,1,6.6,0.0,4.0,16,0.67,0.3333,0.5,1
expressjs/express,4c4f3ea105,2025-03-28T00:46:06Z,fix(deps): serve-static@^2.2.0 (#6418)  * Update package.json  * Update History.md  ---------  Co-authored-by: Wes Todd <wes@wesleytodd.com>,bugfix,Unknown,3,2,2,0,1,0,1,5,0,4,0,1,1,5,25.8,0.0,9.7,17,1.0,0.5,0.33,1
expressjs/express,cd7d4397c3,2025-03-28T01:13:27Z,5.1.0,other,Unknown,19,26,2,0,1,0,14,45,1,4,0,1,0,2,29.4,0.0,4.0,18,0.7,0.1,4.67,0
expressjs/express,fa40ecfe76,2025-04-05T02:53:14Z,build(deps): bump github/codeql-action from 3.28.11 to 3.28.13 (#6429),other,Unknown,3,3,2,0,0,0,1,6,2,5,1,1,0,1,0.3,0.0,5.7,18,0.75,0.5,0.33,0
expressjs/express,3dc96995df,2025-04-11T01:49:23Z,"Refactor: simplify `acceptsLanguages` implementation using spread operator (#6137)  Refactored `req.acceptsLanguages` to use the spread operator for passing arguments directly to `accept.languages`, e",feature,JavaScript,2,3,1,0,0,0,1,5,1,4,0,1,2,7,10.3,0.0,3.2,18,0.5,0.3333,0.5,0
expressjs/express,5da5a11a49,2025-04-11T01:57:43Z,increased code coverage of utils.js file (#6386)  Co-authored-by: Sebastian Beltran <bjohansebas@gmail.com>,test,JavaScript,12,0,1,1,0,1,4,12,1,4,0,1,1,0,19.9,100.0,1.7,18,12.0,0.0769,2.0,0
expressjs/express,f9954dd317,2025-04-16T16:18:38Z,fix(test): remove duplicate word (#6456)  Signed-off-by: dufucun <dufuchun@sohu.com>,bugfix,JavaScript,2,2,2,2,0,1,1,4,16,2,0,0,0,3,9.0,100.0,9.1,18,0.67,0.6667,0.33,1
expressjs/express,a1161b4686,2025-05-05T21:01:58Z,build(deps): bump github/codeql-action from 3.28.13 to 3.28.16 (#6498)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.28.13 to 3.28.16. - [Release notes](https://github.,bugfix,Unknown,3,3,2,0,0,0,1,6,21,0,0,0,1,4,2.9,0.0,9.6,19,0.75,0.5,0.33,1
expressjs/express,73555815b9,2025-05-05T21:02:09Z,build(deps): bump actions/setup-node from 4.3.0 to 4.4.0 (#6497)  Bumps [actions/setup-node](https://github.com/actions/setup-node) from 4.3.0 to 4.4.0. - [Release notes](https://github.com/actions/se,other,Unknown,3,3,2,0,0,0,1,6,21,0,0,0,0,0,11.2,0.0,8.0,20,0.75,0.5,0.33,0
expressjs/express,1ca803dd55,2025-05-05T21:02:23Z,build(deps): bump actions/download-artifact from 4.2.1 to 4.3.0 (#6496)  Bumps [actions/download-artifact](https://github.com/actions/download-artifact) from 4.2.1 to 4.3.0. - [Release notes](https://,other,Unknown,2,2,2,0,0,0,1,4,21,0,0,0,1,5,3.8,0.0,9.6,20,0.67,0.6667,0.33,0
expressjs/express,ee1ef41bd3,2025-05-08T02:08:25Z,ci: add node.js 24 to test matrix (#6504),feature,Unknown,1,1,1,0,0,0,1,2,2,3,0,1,1,3,26.5,0.0,4.4,20,0.5,0.5,0.5,0
expressjs/express,9784321e89,2025-05-09T13:29:27Z,ci: update codeql config (#6488),other,Unknown,8,3,1,0,0,0,3,11,13,4,0,0,2,4,7.9,0.0,9.0,20,2.0,0.1111,1.5,0
expressjs/express,9f4dbe3a13,2025-05-15T16:40:26Z,chore: wider range for query test skip (#6512),test,JavaScript,3,3,1,1,0,1,1,6,16,3,0,0,1,6,17.5,100.0,3.3,20,0.75,0.25,0.5,0
expressjs/express,dfd1851245,2025-05-27T08:36:50Z,test: fix typos in test descriptions (#6535),bugfix,JavaScript,24,24,6,6,0,1,15,48,8,1,0,0,0,2,5.0,100.0,7.0,20,0.96,0.24,2.14,1
expressjs/express,99a0bd3354,2025-05-28T23:55:05Z,ci: disable credential persistence for checkout actions (#6522)  Signed-off-by: Mert Şişmanoğlu <mertssmnoglu@gmail.com>,other,Unknown,8,0,3,0,0,0,2,8,23,2,0,1,2,6,43.9,0.0,4.3,21,8.0,0.3333,0.5,0
expressjs/express,fedd60e642,2025-05-29T00:16:44Z,ci: allow manual triggering of workflow (#6515),other,Unknown,4,1,3,0,0,0,1,5,0,3,0,1,1,2,2.1,0.0,3.8,21,2.0,0.6,0.25,0
expressjs/express,b8ab46594d,2025-05-29T00:26:16Z,test: add coverage for app.listen() variants (#6476)  * test: add coverage for app.listen() variants  - verify alternate signatures (port+host+backlog) - verify server.address() shape  * fix linter is,bugfix,JavaScript,28,0,1,1,0,1,9,28,0,3,0,1,2,2,7.5,100.0,6.3,21,28.0,0.0345,4.5,1
expressjs/express,52872b84ca,2025-06-09T20:34:53Z,fix(docs): move documentation and charters to the discussions and .github … (#6427)  * docs: move documentation and charters to the discussions and .github repository  * Update Readme.md,bugfix,Unknown,24,944,9,0,9,0,100,968,20,0,0,0,1,5,6.8,0.0,9.8,22,0.03,0.36,10.0,1
expressjs/express,b8fc000f31,2025-06-13T09:29:27Z,docs: use global Security policy  We should inherit https://github.com/expressjs/.github/blob/master/SECURITY.md directly.,docs,Unknown,0,56,1,0,1,0,16,56,9,4,0,0,0,1,28.7,0.0,9.2,23,0.0,1.0,8.0,0
expressjs/express,ffc562c7d1,2025-06-18T21:36:20Z,build(deps): bump github/codeql-action from 3.28.16 to 3.28.18 (#6549)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.28.16 to 3.28.18. - [Release notes](https://github.,bugfix,Unknown,3,3,2,0,0,0,1,6,21,2,0,0,0,6,7.8,0.0,4.8,23,0.75,0.5,0.33,1
expressjs/express,a039e49175,2025-06-18T21:36:52Z,build(deps): bump ossf/scorecard-action from 2.4.1 to 2.4.2 (#6548)  Bumps [ossf/scorecard-action](https://github.com/ossf/scorecard-action) from 2.4.1 to 2.4.2. - [Release notes](https://github.com/o,bugfix,Unknown,1,1,1,0,0,0,1,2,21,2,0,0,0,1,10.6,0.0,3.8,24,0.5,0.5,0.5,1
expressjs/express,98c85eb0dd,2025-06-28T01:10:36Z,chore: enforce explicit Buffer import and add lint rule (#6525)  Signed-off-by: Shivam Sharma <meshivam81@gmail.com>,feature,JavaScript,19,1,14,11,0,1,6,20,1,5,1,1,0,0,21.9,78.6,9.0,25,9.5,0.7,0.4,0
expressjs/express,3910323d09,2025-07-03T02:33:10Z,chore: use node protocol for node builtin module (#6520)  Co-authored-by: Sebastian Beltran <bjohansebas@gmail.com>,other,JavaScript,2,1,1,0,0,0,1,3,2,3,0,1,0,2,11.3,0.0,3.7,25,1.0,0.3333,0.5,0
expressjs/express,b0ed15b452,2025-07-04T14:47:31Z,chore: fix typo (#6609)  Signed-off-by: mountdisk <mountdisk@icloud.com.>,bugfix,JavaScript,1,1,1,1,0,1,1,2,14,4,0,0,2,6,33.4,100.0,1.8,25,0.5,0.5,0.5,1
expressjs/express,7a9311216a,2025-07-09T08:27:41Z,build(deps): bump github/codeql-action from 3.28.18 to 3.29.2 (#6618)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.28.18 to 3.29.2. - [Release notes](https://github.co,docs,Unknown,3,3,2,0,0,0,1,6,8,2,0,0,2,5,4.8,0.0,1.2,26,0.75,0.5,0.33,0
expressjs/express,c5b8d55a6a,2025-07-15T03:18:10Z,feat: add deprecation warnings for redirect arguments undefined (#6405),feature,JavaScript,14,0,2,0,0,0,4,14,3,1,0,1,0,0,15.5,0.0,8.7,26,14.0,0.1333,1.33,0
expressjs/express,ef5f2e13ef,2025-07-16T02:27:50Z,ci: run CI when the markdown changes (#6632),other,Unknown,0,2,1,0,0,0,1,2,2,2,0,1,2,5,10.2,0.0,7.9,26,0.0,1.0,0.5,0
expressjs/express,9420cd3f9b,2025-07-21T23:14:33Z,doc: fix the Contributing.md link (#6653),bugfix,Unknown,1,1,1,0,1,0,1,2,23,0,0,1,0,2,31.9,0.0,3.0,26,0.5,0.5,0.5,1
expressjs/express,b52ff7ca60,2025-07-30T13:41:53Z,update contributing and COC links (#6601),other,Unknown,4,3,1,0,1,0,2,7,13,2,0,0,2,2,11.6,0.0,6.3,27,1.0,0.2,1.0,0
expressjs/express,ed64290e4a,2025-08-06T01:24:22Z,build(deps-dev): bump morgan from 1.10.0 to 1.10.1 (#6679)  Bumps [morgan](https://github.com/expressjs/morgan) from 1.10.0 to 1.10.1. - [Release notes](https://github.com/expressjs/morgan/releases) -,bugfix,Unknown,1,1,1,0,0,0,1,2,1,2,0,1,2,5,4.3,0.0,6.8,27,0.5,0.5,0.5,1
expressjs/express,6616e39d4d,2025-08-06T01:24:48Z,build(deps-dev): bump cookie-session from 2.1.0 to 2.1.1 (#6678)  Bumps [cookie-session](https://github.com/expressjs/cookie-session) from 2.1.0 to 2.1.1. - [Release notes](https://github.com/expressj,bugfix,Unknown,1,1,1,0,0,0,1,2,1,2,0,1,1,2,6.4,0.0,2.9,28,0.5,0.5,0.5,1
expressjs/express,8f21493cc5,2025-08-12T22:58:13Z,lint: add --fix flag to automatic fix linting issue (#6644)  * lint: add --fix flag to automatic fix linting issue  * add dedicated lint script,bugfix,Unknown,1,0,1,0,0,0,1,1,22,1,0,1,0,5,23.5,0.0,8.5,29,1.0,0.5,0.5,1
expressjs/express,d9a62f9833,2025-08-20T13:18:36Z,chore: update git rules to ignore `yarn.lock` file (#6588)  Co-authored-by: Ulises Gascón <ulisesgascongonzalez@gmail.com>,other,Unknown,4,0,1,0,0,0,1,4,13,2,0,0,2,0,9.3,0.0,5.9,30,4.0,0.2,0.5,0
expressjs/express,89f198c6a5,2025-08-21T15:05:29Z,lib: use req.socket over deprecated req.connection (#6705)  Signed-off-by: Sebastian Beltran <bjohansebas@gmail.com>,other,JavaScript,4,4,2,1,0,1,2,8,15,3,0,0,1,1,9.8,50.0,5.8,30,0.8,0.4,0.67,0
expressjs/express,aa907945cd,2025-08-22T07:12:09Z,doc: update express app example (#6718),docs,Unknown,3,1,1,0,1,0,1,4,7,4,0,0,1,7,15.9,0.0,5.3,30,1.5,0.25,0.5,0
expressjs/express,2eb42059f3,2025-09-14T14:39:32Z,build(deps): bump github/codeql-action from 3.29.2 to 3.29.5 (#6675)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.29.2 to 3.29.5. - [Release notes](https://github.com/,bugfix,Unknown,3,3,2,0,0,0,1,6,14,6,1,0,1,2,16.8,0.0,6.3,30,0.75,0.5,0.33,1
expressjs/express,9a7afb2886,2025-09-25T05:20:45Z,chore: remove history.md from being packaged on publish (#6780),refactor,Unknown,0,1,1,0,0,0,1,1,5,3,0,1,2,0,7.9,0.0,9.0,31,0.0,1.0,0.5,0
expressjs/express,b9b9f52b2f,2025-10-03T12:34:25Z,build(deps): bump actions/checkout from 4.2.2 to 5.0.0 (#6797)  Bumps [actions/checkout](https://github.com/actions/checkout) from 4.2.2 to 5.0.0. - [Release notes](https://github.com/actions/checkout,docs,Unknown,7,7,4,0,0,0,4,14,12,4,0,0,1,4,24.6,0.0,5.2,31,0.88,0.5,0.8,0
expressjs/express,ffa89f2ccf,2025-10-03T12:40:08Z,build(deps): bump github/codeql-action from 3.29.7 to 3.30.5 (#6796)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.29.7 to 3.30.5. - [Release notes](https://github.com/,docs,Unknown,3,3,2,0,0,0,1,6,12,4,0,0,0,4,14.6,0.0,7.1,31,0.75,0.5,0.33,0
